id,Dates_Year,Dates_Period,Dates_Date,Dates_Month,Dates_Quarter
0,2008,1,01/01/2008 00:00:00,Jan,Q1
1,2008,2,01/02/2008 00:00:00,Feb,Q1
2,2008,3,01/03/2008 00:00:00,Mar,Q1
3,2008,4,01/04/2008 00:00:00,Apr,Q2
4,2008,5,01/05/2008 00:00:00,May,Q2
5,2008,6,01/06/2008 00:00:00,Jun,Q2
6,2008,7,01/07/2008 00:00:00,Jul,Q3
7,2008,8,01/08/2008 00:00:00,Aug,Q3
8,2008,9,01/09/2008 00:00:00,Sep,Q3
9,2008,10,01/10/2008 00:00:00,Oct,Q4
10,2008,11,01/11/2008 00:00:00,Nov,Q4
11,2008,12,01/12/2008 00:00:00,Dec,Q4
12,2009,1,01/01/2009 00:00:00,Jan,Q1
13,2009,2,01/02/2009 00:00:00,Feb,Q1
14,2009,3,01/03/2009 00:00:00,Mar,Q1
15,2009,4,01/04/2009 00:00:00,Apr,Q2
16,2009,5,01/05/2009 00:00:00,May,Q2
17,2009,6,01/06/2009 00:00:00,Jun,Q2
18,2009,7,01/07/2009 00:00:00,Jul,Q3
19,2009,8,01/08/2009 00:00:00,Aug,Q3
20,2009,9,01/09/2009 00:00:00,Sep,Q3
21,2009,10,01/10/2009 00:00:00,Oct,Q4
22,2009,11,01/11/2009 00:00:00,Nov,Q4
23,2009,12,01/12/2009 00:00:00,Dec,Q4
24,2010,1,01/01/2010 00:00:00,Jan,Q1
25,2010,2,01/02/2010 00:00:00,Feb,Q1
26,2010,3,01/03/2010 00:00:00,Mar,Q1
27,2010,4,01/04/2010 00:00:00,Apr,Q2
28,2010,5,01/05/2010 00:00:00,May,Q2
29,2010,6,01/06/2010 00:00:00,Jun,Q2
30,2010,7,01/07/2010 00:00:00,Jul,Q3
31,2010,8,01/08/2010 00:00:00,Aug,Q3
32,2010,9,01/09/2010 00:00:00,Sep,Q3
33,2010,10,01/10/2010 00:00:00,Oct,Q4
34,2010,11,01/11/2010 00:00:00,Nov,Q4
35,2010,12,01/12/2010 00:00:00,Dec,Q4
36,2011,1,01/01/2011 00:00:00,Jan,Q1
37,2011,2,01/02/2011 00:00:00,Feb,Q1
38,2011,3,01/03/2011 00:00:00,Mar,Q1
39,2011,4,01/04/2011 00:00:00,Apr,Q2
40,2011,5,01/05/2011 00:00:00,May,Q2
41,2011,6,01/06/2011 00:00:00,Jun,Q2
42,2011,7,01/07/2011 00:00:00,Jul,Q3
43,2011,8,01/08/2011 00:00:00,Aug,Q3
44,2011,9,01/09/2011 00:00:00,Sep,Q3
45,2011,10,01/10/2011 00:00:00,Oct,Q4
46,2011,11,01/11/2011 00:00:00,Nov,Q4
47,2011,12,01/12/2011 00:00:00,Dec,Q4
48,2012,1,01/01/2012 00:00:00,Jan,Q1
49,2012,2,01/02/2012 00:00:00,Feb,Q1
50,2012,3,01/03/2012 00:00:00,Mar,Q1
51,2012,4,01/04/2012 00:00:00,Apr,Q2
52,2012,5,01/05/2012 00:00:00,May,Q2
53,2012,6,01/06/2012 00:00:00,Jun,Q2
54,2012,7,01/07/2012 00:00:00,Jul,Q3
55,2012,8,01/08/2012 00:00:00,Aug,Q3
56,2012,9,01/09/2012 00:00:00,Sep,Q3
57,2012,10,01/10/2012 00:00:00,Oct,Q4
58,2012,11,01/11/2012 00:00:00,Nov,Q4
59,2012,12,01/12/2012 00:00:00,Dec,Q4
60,2013,1,01/01/2013 00:00:00,Jan,Q1
61,2013,2,01/02/2013 00:00:00,Feb,Q1
62,2013,3,01/03/2013 00:00:00,Mar,Q1
63,2013,4,01/04/2013 00:00:00,Apr,Q2
64,2013,5,01/05/2013 00:00:00,May,Q2
65,2013,6,01/06/2013 00:00:00,Jun,Q2
66,2013,7,01/07/2013 00:00:00,Jul,Q3
67,2013,8,01/08/2013 00:00:00,Aug,Q3
68,2013,9,01/09/2013 00:00:00,Sep,Q3
69,2013,10,01/10/2013 00:00:00,Oct,Q4
70,2013,11,01/11/2013 00:00:00,Nov,Q4
71,2013,12,01/12/2013 00:00:00,Dec,Q4
72,2014,1,01/01/2014 00:00:00,Jan,Q1
73,2014,2,01/02/2014 00:00:00,Feb,Q1
74,2014,3,01/03/2014 00:00:00,Mar,Q1
75,2014,4,01/04/2014 00:00:00,Apr,Q2
76,2014,5,01/05/2014 00:00:00,May,Q2
77,2014,6,01/06/2014 00:00:00,Jun,Q2
78,2014,7,01/07/2014 00:00:00,Jul,Q3
79,2014,8,01/08/2014 00:00:00,Aug,Q3
80,2014,9,01/09/2014 00:00:00,Sep,Q3
81,2014,10,01/10/2014 00:00:00,Oct,Q4
82,2014,11,01/11/2014 00:00:00,Nov,Q4
83,2014,12,01/12/2014 00:00:00,Dec,Q4
